"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"7SK",11.8008667704748,0.448905840625449,0.500860324985984,0.896269515134806,0.370108836487359,NA
"A1BG",14.3543994593376,0.505285458399265,0.501919319912611,1.00670653300861,0.314075821738057,NA
"A1CF",11.0075858817643,-0.164013212533436,0.501695312354048,-0.326917968923919,0.743729929951841,NA
"A4GALT",81.9403838414279,-0.184693008667109,0.381903246722546,-0.483612041144256,0.628661227598407,0.743021290320739
"AAAS",823.529937217226,-0.721045504063549,0.322416913133198,-2.23637617845956,0.0253271402091882,0.0831426192050409
"AACS",283.362801398838,-0.35899919195672,0.323154057976496,-1.11092274132244,0.266601605806054,0.418088465335369
"AACSP1",44.5595553754338,-0.32862719168676,0.421240943565051,-0.780140669388684,0.435308080296783,0.581769701380013
"AADAC",22.0610255829604,0.0401746973726115,0.502541710256583,0.0799430108042165,0.936282581600776,NA
"AADACP1",43.8328135431296,-0.110555599791792,0.461205570849637,-0.239710026893487,0.81055506121169,0.877491771568714
"AADAT",92.2903579174345,-0.266351678570057,0.368930347695262,-0.721956543380011,0.470321195737649,0.611713714464385
"AAED1",229.014205558759,-0.974581868855492,0.328569415347862,-2.96613690541977,0.00301566214765237,0.0217278354663233
"AAGAB",992.019222409109,-1.20337252803378,0.308731638086128,-3.89779465264286,9.70726748557305e-05,0.00349188953427664
"AAK1",784.588683110097,-0.320093158441215,0.414221685297844,-0.772758090178339,0.439665560650879,0.58598721169109
"AAMDC",35.8226684534535,-0.0334274133069772,0.438761184185363,-0.076185894540879,0.939271204598051,0.960727399846856
"AAMP",1610.50099552126,-0.596772608225279,0.31970159266652,-1.86665509936252,0.0619497677783694,0.152651284619934
"AAR2",415.465470012599,-0.505452692015782,0.326451895487054,-1.5483221234224,0.121544760531265,0.242596976833445
"AARD",11.3070197494936,0.0643553689731505,0.502283708840252,0.128125535111907,0.898049628491858,NA
"AARS",2550.2642646781,-0.292618613920628,0.503739889804312,-0.580892281598547,0.56131305463333,0.689645493392922
"AARS2",338.350278318606,-0.241292333376589,0.324437331185465,-0.74372555246626,0.457042527411752,0.60046396208615
"AARSD1",20.0847492305576,0.00975645135298548,0.476226709463479,0.0204869889888729,0.983654891182342,NA
"AASDH",240.711852729299,-1.05020806728652,0.342254349181888,-3.06850174379638,0.00215135072906737,0.0178570858556773
"AASDHPPT",874.950266448167,-1.22408103161646,0.319853258789708,-3.8270081607055,0.000129710216131811,0.00399295439371148
"AASS",68.1532725918284,-0.668544074756819,0.391034195198109,-1.70968187173021,0.0873247167793636,0.19405251815156
"AATBC",21.6062568724571,0.287240181783932,0.483952534022687,0.593529657539652,0.552826741095541,NA
"AATF",1359.70669754057,-0.843642427244479,0.310662483042968,-2.71562378237926,0.00661510423725898,0.0354299560277451
"AATK",69.2068008666208,0.275190835094378,0.39726691167148,0.692710183026638,0.48849144733473,0.628895292507144
"ABALON",152.716373915841,-0.0900095337481308,0.363790120705267,-0.247421600052339,0.804581959322631,0.873620194258574
